CODIGO_INST,COHORTE,SEXO,NIVEL_ED_PADRE,NIVEL_ED_MADRE,ANOS_REPITIO,ESTRATO_ACTUAL,TIPO_PLANTEL,ZONA_LUGAR_RESIDENCIA,sexo,nivel_edu_padre,nivel_edu_madre,nivel_edu_max_padres,repitio_escolar,estrato,log_ingresos,sisben_nivel,tipo_plantel,zona_rural,vive_con,situacion_padres,icfes_total,icfes_mat,icfes_lec,icfes_nat,cohorte_encoded,prom_sem1,graduado,rendimiento_bajo,PROMEDIO_CARRERA
160004000,2017-2,F,,5.0,N,2,G,U,0,0,4,4,0,2,16.48273883399067,2,0,0,1,1,302.0,57.0,63.0,62.0,0,3.4,0,0,3.7
160004001,2017-2,M,2.0,3.0,N,1,G,U,1,1,2,2,0,1,16.077273760604726,1,0,0,2,1,298.0,68.0,58.0,56.0,0,4.2,0,1,2.9
160004002,2017-2,M,,5.0,N,2,P,U,1,0,4,4,0,2,16.077273760604726,1,1,0,1,1,305.0,62.0,65.0,58.0,0,4.0,0,1,2.6
160004003,2017-2,M,5.0,5.0,N,2,P,U,1,4,4,4,0,2,17.108547990690635,0,1,0,1,2,302.0,62.0,62.0,60.0,0,3.6,0,1,2.7
160004004,2017-2,M,2.0,5.0,N,1,P,U,1,1,4,4,0,1,15.977231841750806,0,1,0,2,1,252.0,59.0,49.0,47.0,0,3.7,1,0,3.6
160004005,2017-2,M,,12.0,N,2,P,U,1,0,10,10,0,2,16.565853735162666,1,1,0,1,1,308.0,60.0,57.0,65.0,0,3.7,1,0,3.5
160004006,2017-2,M,5.0,5.0,S,1,G,R,1,4,4,4,1,1,16.48273883399067,2,0,1,1,2,295.0,61.0,65.0,58.0,0,3.1,0,1,2.9
160004007,2017-2,M,8.0,,S,1,G,U,1,6,0,6,1,1,15.929353647134382,1,0,0,3,1,294.0,65.0,58.0,60.0,0,0.9,0,1,0.9
160004008,2017-2,M,14.0,14.0,N,3,P,U,1,12,12,12,0,3,16.48273883399067,0,1,0,1,2,337.0,67.0,66.0,66.0,0,3.8,1,0,3.8
160004010,2017-2,M,5.0,5.0,N,1,G,R,1,4,4,4,0,1,15.928562029635655,2,0,1,2,1,300.0,67.0,62.0,62.0,0,3.4,0,0,3.8
160004012,2017-2,M,3.0,3.0,S,1,G,R,1,2,2,2,1,1,16.300417291085605,1,0,1,3,2,297.0,66.0,58.0,59.0,0,3.3,0,1,2.2
160004013,2017-2,M,2.0,4.0,N,2,G,U,1,1,3,3,0,2,15.86963441986494,0,0,0,1,1,291.0,62.0,52.0,60.0,0,3.2,0,1,2.6
160004015,2017-2,M,8.0,11.0,S,1,P,U,1,6,9,9,1,1,14.914123179965662,2,1,0,4,1,309.0,66.0,62.0,61.0,0,3.7,1,0,3.6
160004016,2017-2,M,,12.0,N,2,G,R,1,0,10,10,0,2,16.990940741224883,1,0,1,2,1,301.0,62.0,54.0,66.0,0,3.8,0,0,3.2
160004017,2017-2,M,12.0,10.0,N,2,G,U,1,10,8,10,0,2,16.720179675328176,2,0,0,2,2,300.0,61.0,61.0,65.0,0,3.4,0,0,3.4
160004018,2017-2,M,2.0,3.0,N,1,G,U,1,1,2,2,0,1,15.501909696719672,2,0,0,5,1,301.0,65.0,58.0,64.0,0,3.4,0,0,3.7
160004019,2017-2,M,3.0,9.0,N,2,G,U,1,2,7,7,0,2,15.86963441986494,2,0,0,2,1,346.0,75.0,63.0,67.0,0,3.8,0,1,2.5
160004020,2017-2,M,,12.0,N,2,G,U,1,0,10,10,0,2,16.300417291085605,4,0,0,2,1,307.0,59.0,63.0,65.0,0,3.8,0,0,3.2
160004022,2017-2,M,,12.0,N,2,G,U,1,0,10,10,0,2,15.424948670398354,0,0,0,1,1,313.0,64.0,58.0,61.0,0,3.6,0,1,2.4
160004023,2017-2,M,5.0,5.0,N,2,G,U,1,4,4,4,0,2,16.521794600325933,0,0,0,1,1,304.0,64.0,53.0,62.0,0,3.4,1,0,3.5
160004025,2017-2,M,2.0,5.0,S,3,P,U,1,1,4,4,1,3,15.928562029635655,2,1,0,1,1,377.0,76.0,72.0,69.0,0,3.4,0,0,3.4
160004026,2017-2,M,4.0,10.0,N,2,G,U,1,3,8,8,0,2,15.996222323954052,0,0,0,2,2,316.0,64.0,58.0,62.0,0,3.4,0,0,4.0
160004027,2017-2,M,4.0,4.0,N,2,G,U,1,3,3,3,0,2,16.453385546032013,2,0,0,1,2,294.0,60.0,53.0,63.0,0,1.5,0,1,1.5
160004028,2017-2,M,2.0,5.0,N,2,G,U,1,1,4,4,0,2,15.607270193858982,1,0,0,5,1,320.0,63.0,67.0,65.0,0,1.2,0,1,1.2
160004031,2017-2,M,14.0,14.0,N,3,G,U,1,12,12,12,0,3,17.62991559669524,4,0,0,1,2,317.5,65.0,63.0,63.5,0,3.9,1,0,3.8
160004032,2017-2,M,5.0,5.0,N,2,G,U,1,4,4,4,0,2,16.705882371415992,2,0,0,5,2,305.0,63.0,61.0,56.0,0,3.9,1,0,3.7
160004033,2017-2,F,11.0,12.0,N,3,G,U,0,9,10,10,0,3,16.007164201982874,3,0,0,1,2,334.0,62.0,70.0,65.0,0,3.8,1,0,3.9
160004034,2017-2,M,,5.0,N,1,G,U,1,0,4,4,0,1,16.103010946739843,2,0,0,4,1,336.0,66.0,67.0,68.0,0,3.9,1,0,4.0
160004035,2017-2,M,8.0,12.0,S,3,G,U,1,6,10,10,1,3,16.635078341029764,1,0,0,1,1,296.0,65.0,62.0,61.0,0,3.4,0,1,2.0
160004036,2017-2,M,5.0,5.0,S,2,G,U,1,4,4,4,1,2,16.03362660314579,0,0,0,1,1,316.0,67.0,58.0,61.0,0,3.4,0,0,3.6
160004037,2017-2,F,12.0,12.0,N,3,P,U,0,10,10,10,0,3,17.505826654612957,0,1,0,1,1,310.0,59.0,66.0,62.0,0,0.9,0,1,0.9
160004038,2017-2,M,14.0,12.0,N,4,G,U,1,12,10,12,0,4,17.30642678976724,0,0,0,2,1,335.0,64.0,56.0,72.0,0,4.0,0,0,3.2
160004039,2017-2,M,14.0,7.0,N,3,G,U,1,12,5,12,0,3,17.214228568524558,0,0,0,2,2,309.0,63.0,60.0,63.0,0,3.4,0,0,3.4
160004040,2017-2,M,,4.0,N,1,G,R,1,0,3,3,0,1,15.250595321348806,2,0,1,5,3,300.0,63.0,60.0,60.0,0,4.3,1,0,4.2
160004041,2017-2,F,10.0,14.0,N,2,G,U,0,8,12,12,0,2,16.584051662139046,0,0,0,1,2,335.0,66.0,67.0,65.0,0,3.7,1,0,3.9
160004042,2017-2,M,5.0,5.0,N,1,G,U,1,4,4,4,0,1,15.949440403299384,2,0,0,1,3,295.0,62.0,57.0,58.0,0,3.4,0,0,4.4
160004043,2017-2,M,12.0,,N,1,G,R,1,10,0,10,0,1,15.928563480057516,0,0,1,1,3,262.0,60.0,56.0,56.0,0,3.9,1,0,3.8
160004044,2017-2,F,5.0,4.0,N,2,G,U,0,4,3,4,0,2,16.615228008419557,4,0,0,1,1,326.0,66.0,69.0,66.0,0,3.4,0,1,2.7
160004045,2017-2,M,5.0,4.0,N,2,G,R,1,4,3,4,0,2,15.859570617204021,1,0,1,1,2,386.0,65.0,100.0,73.0,0,3.3,0,1,2.3
160004046,2017-2,M,4.0,5.0,N,1,G,U,1,3,4,4,0,1,16.012735246411598,1,0,0,5,2,301.0,67.0,58.0,60.0,0,2.9,0,1,2.3
160004047,2017-2,M,14.0,10.0,N,4,P,U,1,12,8,12,0,4,15.928563480057516,0,1,0,1,2,299.0,58.0,54.0,61.0,0,3.5,0,1,2.6
160004048,2017-2,M,5.0,8.0,N,3,G,U,1,4,6,6,0,3,15.943742382861155,1,0,0,2,1,289.0,64.0,57.0,59.0,0,3.5,0,1,2.8
160004049,2017-2,M,,4.0,N,1,G,U,1,0,3,3,0,1,15.928563480057516,2,0,0,2,1,290.0,60.0,58.0,60.0,0,4.1,1,0,3.7
160004050,2017-2,M,8.0,8.0,S,4,G,U,1,6,6,6,1,4,16.48273883399067,2,0,0,1,1,294.0,60.0,59.0,55.0,0,3.8,1,0,3.4
160004052,2017-2,F,8.0,12.0,N,3,G,U,0,6,10,10,0,3,16.689030055282224,1,0,0,1,2,287.0,64.0,52.0,61.0,0,3.4,0,0,3.7
160004100,2018-1,M,12.0,12.0,N,2,G,U,1,10,10,10,0,2,16.8052779770925,0,0,0,4,2,326.0,63.0,63.0,67.0,1,2.6,0,1,2.6
160004101,2018-1,M,1.0,12.0,S,1,G,U,1,0,10,10,1,1,17.188664231716263,2,0,0,2,1,325.0,68.0,63.0,66.0,1,2.2,0,1,2.2
160004102,2018-1,M,12.0,5.0,S,2,G,R,1,10,4,10,1,2,15.567709909781271,0,0,1,5,1,322.0,61.0,63.0,63.0,1,0.8,0,1,0.8
160004103,2018-1,M,5.0,12.0,N,1,G,R,1,4,10,10,0,1,15.943742382861155,1,0,1,1,2,319.0,69.0,62.0,64.0,1,3.4,1,0,3.9
160004104,2018-1,M,,12.0,N,1,G,U,1,0,10,10,0,1,16.077273760604726,1,0,0,1,1,324.0,67.0,65.0,61.0,1,3.4,1,0,3.7
160004105,2018-1,M,,4.0,N,2,G,R,1,0,3,3,0,2,15.38412668421143,1,0,1,1,1,332.0,71.0,69.0,68.0,1,2.4,0,1,2.4
160004106,2018-1,F,3.0,5.0,N,1,G,U,0,2,4,4,0,1,15.929353647134382,2,0,0,2,1,338.0,68.0,67.0,68.0,1,4.6,1,0,4.0
160004107,2018-1,M,,3.0,N,1,G,U,1,0,2,2,0,1,15.929353647134382,2,0,0,2,1,320.0,64.0,72.0,62.0,1,3.2,1,0,3.7
160004108,2018-1,M,12.0,12.0,N,1,G,R,1,10,10,10,0,1,16.077273760604726,0,0,1,1,2,344.0,72.0,64.0,66.0,1,4.0,1,0,3.8
160004109,2018-1,F,2.0,4.0,N,1,G,R,0,1,3,3,0,1,15.929353647134382,1,0,1,3,2,324.0,77.0,66.0,67.0,1,3.7,1,0,3.7
160004110,2018-1,M,2.0,5.0,N,1,G,R,1,1,4,4,0,1,15.928563480057516,1,0,1,1,1,311.0,62.0,63.0,71.0,1,2.5,0,1,2.9
160004111,2018-1,F,5.0,8.0,N,2,G,R,0,4,6,6,0,2,15.996154093121891,3,0,1,3,2,313.0,71.0,62.0,54.0,1,4.1,1,0,3.7
160004112,2018-1,F,4.0,5.0,S,3,P,U,0,3,4,4,1,3,15.70614339674399,0,1,0,1,1,320.0,69.0,61.0,68.0,1,3.2,1,0,3.6
160004113,2018-1,M,,12.0,N,3,P,U,1,0,10,10,0,3,15.943742382861155,0,1,0,2,3,367.0,75.0,73.0,70.0,1,3.4,0,1,2.9
160004114,2018-1,M,12.0,2.0,N,1,G,R,1,10,1,10,0,1,15.38412668421143,0,0,1,2,1,312.0,56.0,74.0,63.0,1,2.3,0,1,2.5
160004115,2018-1,M,5.0,5.0,S,2,G,U,1,4,4,4,1,2,16.309542198105653,0,0,0,2,1,340.0,65.0,72.0,70.0,1,1.2,0,1,1.2
160004116,2018-1,M,,,N,3,G,U,1,0,0,0,0,3,17.60717042463077,0,0,0,5,1,387.0,89.0,67.0,67.0,1,3.6,0,1,2.8
160004117,2018-1,M,5.0,11.0,N,1,G,U,1,4,9,9,0,1,16.074937701050803,0,0,0,1,2,326.0,66.0,70.0,60.0,1,3.7,1,0,3.9
160004118,2018-1,M,5.0,10.0,N,2,G,R,1,4,8,8,0,2,15.607270193858982,3,0,1,1,1,314.0,62.0,58.0,67.0,1,3.5,1,0,3.8
